epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3657,0.92504,1.23502,0.9933,0.31981,0.45533,0.34503,0.27806,0.71451,0.5934,0.92685,0.000299013,0.000299013,0.000299013
2,37.7512,0.80864,0.48422,0.91269,0.37089,0.55649,0.41709,0.34291,0.66925,0.47932,0.89932,0.000599033,0.000599033,0.000599033
3,56.7162,0.78921,0.45398,0.90599,0.33618,0.50628,0.39033,0.31873,0.75299,0.51687,0.91864,0.000896054,0.000896054,0.000896054
4,75.2637,0.76976,0.43821,0.90049,0.35206,0.51237,0.38075,0.31244,0.66105,0.47465,0.89499,0.000895501,0.000895501,0.000895501
5,93.8389,0.74796,0.40697,0.89544,0.24075,0.83953,0.37047,0.3029,0.6681,0.46458,0.90003,0.000891002,0.000891002,0.000891002
6,112.753,0.74982,0.39965,0.89335,0.51958,0.45184,0.38953,0.31629,0.71743,0.46301,0.91543,0.000886502,0.000886502,0.000886502
7,131.963,0.74205,0.39669,0.89264,0.3636,0.52466,0.38449,0.31886,0.66536,0.44551,0.89952,0.000882003,0.000882003,0.000882003
8,151.216,0.72982,0.38378,0.89106,0.63389,0.41729,0.41287,0.34319,0.68319,0.47684,0.89789,0.000877503,0.000877503,0.000877503
9,170.777,0.73672,0.38145,0.88979,0.25636,0.85311,0.35477,0.29376,0.68105,0.46035,0.90249,0.000873004,0.000873004,0.000873004
10,189.764,0.73197,0.37921,0.8901,0.29988,0.40592,0.35824,0.29462,0.66542,0.45255,0.89935,0.000868504,0.000868504,0.000868504
11,208.621,0.72489,0.37332,0.88816,0.36183,0.40624,0.38892,0.32054,0.68582,0.43626,0.90825,0.000864004,0.000864004,0.000864004
12,227.524,0.72017,0.36856,0.88768,0.27062,0.74391,0.371,0.29982,0.71208,0.46112,0.91977,0.000859505,0.000859505,0.000859505
13,246.509,0.70866,0.36497,0.88545,0.24986,0.72672,0.34333,0.28113,0.70299,0.49832,0.90618,0.000855005,0.000855005,0.000855005
14,265.819,0.72245,0.36677,0.8845,0.64029,0.35398,0.34943,0.28816,0.69554,0.43442,0.90998,0.000850506,0.000850506,0.000850506
15,284.938,0.71127,0.35912,0.8865,0.25804,0.73073,0.36888,0.29526,0.6835,0.47113,0.91057,0.000846006,0.000846006,0.000846006
16,304.061,0.70681,0.35676,0.88753,0.50248,0.39068,0.39388,0.32363,0.68792,0.43048,0.90697,0.000841507,0.000841507,0.000841507
17,323.162,0.70368,0.35324,0.8891,0.35677,0.4544,0.38524,0.31785,0.70476,0.42769,0.91725,0.000837007,0.000837007,0.000837007
18,341.794,0.70429,0.34919,0.88518,0.24905,0.68942,0.34485,0.27703,0.70329,0.48027,0.91387,0.000832508,0.000832508,0.000832508
19,360.878,0.69625,0.34498,0.88496,0.63968,0.41931,0.38249,0.31629,0.70102,0.40534,0.91491,0.000828008,0.000828008,0.000828008
20,379.776,0.69745,0.3458,0.88694,0.64086,0.40682,0.36911,0.30827,0.67632,0.43079,0.90688,0.000823509,0.000823509,0.000823509
21,398.605,0.6939,0.34828,0.88216,0.62069,0.41302,0.4171,0.3424,0.67555,0.43424,0.9062,0.000819009,0.000819009,0.000819009
22,417.542,0.70187,0.34724,0.88563,0.31076,0.55695,0.36945,0.30585,0.67365,0.44345,0.90479,0.000814509,0.000814509,0.000814509
23,436.195,0.69192,0.33906,0.88513,0.27422,0.60473,0.33579,0.27348,0.70046,0.48537,0.91234,0.00081001,0.00081001,0.00081001
24,454.772,0.68596,0.33878,0.88083,0.26441,0.75528,0.34926,0.28749,0.71296,0.46643,0.91728,0.00080551,0.00080551,0.00080551
25,473.374,0.68876,0.33494,0.8795,0.49216,0.42384,0.36094,0.29774,0.67059,0.44155,0.90526,0.000801011,0.000801011,0.000801011
26,492.066,0.68243,0.33364,0.87988,0.49585,0.3981,0.37721,0.3085,0.69368,0.40752,0.91099,0.000796511,0.000796511,0.000796511
27,510.787,0.68384,0.3322,0.88183,0.33602,0.45958,0.383,0.3114,0.71976,0.44592,0.91249,0.000792012,0.000792012,0.000792012
28,529.583,0.69107,0.33796,0.88246,0.46758,0.44237,0.35803,0.29642,0.68363,0.40566,0.90741,0.000787512,0.000787512,0.000787512
29,548.337,0.68197,0.33034,0.8836,0.25709,0.77602,0.36443,0.3037,0.6713,0.42559,0.90415,0.000783013,0.000783013,0.000783013
30,567.077,0.6709,0.3289,0.8733,0.23922,0.78522,0.3531,0.28871,0.67625,0.43029,0.90436,0.000778513,0.000778513,0.000778513
31,586.227,0.68096,0.33312,0.87934,0.2545,0.73671,0.38327,0.30972,0.6693,0.41363,0.90328,0.000774013,0.000774013,0.000774013
32,605.487,0.68129,0.33306,0.87972,0.34077,0.47911,0.38995,0.32239,0.68152,0.40638,0.90534,0.000769514,0.000769514,0.000769514
33,624.391,0.67028,0.32269,0.87632,0.47867,0.35709,0.34706,0.28796,0.67387,0.39605,0.90709,0.000765014,0.000765014,0.000765014
